src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.146.129,95.136.27.187,49794,80,6,2025-06-23 15:56:44,93.08489847183228,31.75595664311213,0.29005779071854787,0.1611432170658599,0.12891457365268794,15,12,1353,1603,485,60,90.2,105.62083127868293,943,60,133.58333333333334,244.0483074903182,943,60,109.48148148148148,182.02551110792547,33133.2866941015,300,240,20,13,3.5801884027627797,10.428045749664307,0.0,4.8395481823247275,93.0848982334137,10.428045988082886,0.0,6.648921302386692,4.805497455249739,93.06793236732483,11.145297527313232,2.384185791015625e-07,8.460721124302257,3.99530748152921,1,1,0,0,0,3,0,2,25,0,0,0.8,109.48148148148148,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.2,133.58333333333334,0,15,12,1353,1603
192.168.146.129,34.107.221.82,44128,80,6,2025-06-23 15:56:45,93.00331544876099,23.246483091144498,0.29031223101799325,0.16128457278777403,0.12902765823021922,15,12,1232,930,364,60,82.13333333333334,75.48056409139743,270,60,77.5,58.0409338312195,364,60,80.07407407407408,68.32055486261257,4667.6982167352535,300,240,20,13,3.577050594183115,10.250259637832642,0.0,4.833271697578014,93.00331521034241,10.25025987625122,0.0,6.643093943595886,4.7974789407850675,92.97451972961426,11.037473201751709,0.005413055419921875,8.452229066328568,3.9848762839856278,1,1,0,0,0,3,0,2,25,0,0,0.8,80.07407407407408,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.13333333333334,77.5,0,15,12,1232,930
192.168.146.129,142.250.201.67,59062,80,6,2025-06-23 15:56:43,98.82104015350342,386.6484297336695,1.0625267639047162,0.5565616382358037,0.5059651256689125,55,50,12184,26025,488,60,221.52727272727273,204.50079835767298,1157,60,520.5,541.1517439683623,1157,60,363.8952380952381,428.54593405651616,183651.61759637189,1100,1000,20,53,0.9502023091683021,10.245760202407837,0.0,2.6351644662550835,98.82104015350342,10.245760440826416,0.0,1.8300192621019151,3.429831471971049,98.7899706363678,11.234884023666382,4.76837158203125e-07,2.0161218497217916,3.666483026762124,21,21,0,0,0,3,0,42,103,0,0,0.9090909090909091,363.8952380952381,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.52727272727273,520.5,0,55,50,12184,26025
192.168.146.129,142.250.200.99,35822,80,6,2025-06-23 15:56:48,93.09297013282776,31.946558325044418,0.2900326411486884,0.16112924508260468,0.12890339606608373,15,12,1297,1677,429,60,86.46666666666667,91.66814544261757,1017,60,139.75,264.50082703084314,1017,60,110.14814814814815,190.95291327749686,36463.01508916324,300,240,20,13,3.580498851262606,10.397225379943848,0.0,4.825229032614771,93.09296989440918,10.397225618362427,0.0,6.649497849600656,4.778312524826575,93.07723927497864,11.009897232055664,0.0013058185577392578,8.46156720681624,3.9449739104246464,1,1,0,0,0,3,0,2,25,0,0,0.8,110.14814814814815,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.46666666666667,139.75,0,15,12,1297,1677
192.168.146.129,142.250.201.67,40016,80,6,2025-06-23 15:56:48,96.01377582550049,159.2271511932315,0.5415889496368418,0.29162481903522247,0.2499641306016193,28,24,5078,10210,482,60,181.35714285714286,189.70225058641506,1157,60,425.4166666666667,516.7772663880983,1157,60,294.0,396.7853517767703,157438.61538461538,560,480,20,26,1.8826230554019703,10.242934703826904,0.0,3.5707393123179494,96.01377558708191,10.242934703826904,0.0,3.5560657624845153,4.258267374034956,96.00133323669434,11.42800498008728,2.384185791015625e-07,4.173971010291058,4.547783731569291,8,8,0,0,0,3,0,16,50,0,0,0.8571428571428571,294.0,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.35714285714286,425.4166666666667,0,28,24,5078,10210
192.168.146.129,142.250.201.67,40024,80,6,2025-06-23 15:56:48,93.71375942230225,168.92930235207805,0.576222748216298,0.30945295737541934,0.26676979084087876,29,25,5560,10271,482,60,191.72413793103448,194.30723921270595,1157,60,410.84,511.4328640202935,1157,60,293.1666666666667,391.54479191284616,153307.32407407401,580,500,20,27,1.7681841400434386,10.349519729614258,0.0,3.4807536999581883,93.71375918388367,10.349519729614258,0.0,3.346919970852988,4.201111112802464,93.70131659507751,11.417458295822144,0.013495683670043945,3.9042215247948966,4.4956145935497505,9,8,0,0,0,3,0,17,52,0,0,0.8620689655172413,293.1666666666667,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.72413793103448,410.84,0,29,25,5560,10271
192.168.146.129,34.36.137.203,55204,443,6,2025-06-23 15:56:42,117.24504733085632,59.85753905830883,0.26440349256306267,0.1364663187422259,0.12793717382083677,16,15,2196,4822,730,60,137.25,162.9468855179503,3141,60,321.46666666666664,768.6993228102187,3141,60,226.38709677419354,555.0656850069334,308097.9146722162,320,300,20,14,3.9081682443618773,58.590657234191895,0.0,14.584780175285209,117.24504733085632,58.59065771102905,0.0,7.8163364887237545,19.871696391680416,117.21774101257324,58.59065771102905,0.0,8.372695786612374,20.464932611461474,8,6,0,0,0,3,0,14,29,0,0,0.9375,226.38709677419354,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.25,321.46666666666664,0,16,15,2196,4822
192.168.146.129,34.36.137.203,55212,443,6,2025-06-23 15:56:42,118.21991610527039,86.50826643197108,0.30451721829969286,0.15225860914984643,0.15225860914984643,18,18,2537,7690,721,60,140.94444444444446,156.84616391803297,3150,60,427.22222222222223,794.9464381366664,3150,60,284.0833333333333,590.5582281480238,348759.0208333333,360,360,20,16,3.3777118887220112,59.03598666191101,0.0,13.60164359448768,118.21991610527039,59.03598666191101,0.0,6.954112712074728,18.86856037476841,118.20409417152405,59.03598666191101,0.0,6.95318201008965,18.879278873607266,9,8,0,0,0,3,0,17,34,0,0,1.0,284.0833333333333,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.94444444444446,427.22222222222223,0,18,18,2537,7690
192.168.146.129,34.107.243.93,58974,443,6,2025-06-23 15:56:43,116.86718511581421,55.079618745167835,0.23103149077513307,0.11979410632784677,0.1112373844472863,14,13,1848,4589,727,60,132.0,170.2452013168905,3133,60,353.0,818.3345187729677,3133,60,238.40740740740742,591.3174405517615,349656.31550068595,280,260,20,12,4.494891735223623,58.280726194381714,0.0,15.51718145044388,116.86718511581421,58.280726194381714,0.0,8.989783470447247,21.003794250754755,116.83465647697449,58.32364225387573,0.0012617111206054688,9.736221373081207,21.717530574726382,6,6,0,0,0,3,0,12,25,0,0,0.9285714285714286,238.40740740740742,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.0,353.0,0,14,13,1848,4589
192.168.146.129,172.217.168.163,37060,443,6,2025-06-23 15:56:48,114.27799105644226,391.11643096634856,0.2800189231905127,0.14876005294495986,0.13125887024555283,17,15,2382,42314,719,60,140.11764705882354,166.33519748951343,24604,60,2820.9333333333334,6711.006585867396,24604,60,1396.75,4787.040062763211,22915752.5625,340,300,20,15,3.686386808272331,58.41538739204407,0.0,13.98657894784438,114.27799081802368,58.41538739204407,0.0,7.14237442612648,18.823878961949706,114.26235461235046,58.469923973083496,0.0,8.161596758025032,19.92749972373337,8,6,0,0,0,3,0,14,30,0,0,0.8823529411764706,1396.75,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.11764705882354,2820.9333333333334,0,17,15,2382,42314
