src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.129,192.168.10.130,1315,80,6,2025-06-22 13:39:39,90.8992371559143,1.980214638009076,0.033003577300151264,0.022002384866767512,0.011001192433383756,2,1,120,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,20,20,2,45.44961857795715,90.8992371559143,0.0,45.44961857795715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,1,120,60
192.168.10.129,192.168.10.130,1316,80,6,2025-06-22 13:39:39,90.89837908744812,2.640311107958369,0.044005185132639485,0.044005185132639485,0.0,4,0,240,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,80,0,20,4,30.29945969581604,85.83753705024719,0.0,39.32566217032214,90.89837908744812,85.83753705024719,0.0,30.29945969581604,39.32566217032214,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,4,0,240,0
192.168.10.129,192.168.10.130,1323,80,6,2025-06-22 13:39:39,90.90226745605469,1.980148625962694,0.03300247709937823,0.03300247709937823,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.451133728027344,90.90226745605469,0.0,45.451133728027344,90.90226745605469,90.90226745605469,0.0,45.451133728027344,45.451133728027344,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.129,192.168.10.130,1324,80,6,2025-06-22 13:39:39,90.90226769447327,1.9801486207691577,0.033002477012819297,0.033002477012819297,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.45113384723663,90.90226769447327,0.0,45.45113384723663,90.90226769447327,90.90226769447327,0.0,45.45113384723663,45.45113384723663,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.129,192.168.10.130,1468,80,6,2025-06-22 13:39:39,90.89325618743896,1.980344940319953,0.03300574900533255,0.03300574900533255,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.44662809371948,90.89325618743896,0.0,45.44662809371948,90.89325618743896,90.89325618743896,0.0,45.44662809371948,45.44662809371948,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.130,192.168.10.129,80,1461,6,2025-06-22 13:39:39,90.88395667076111,2.6407301001367167,0.044012168335611945,0.03300912625170896,0.011003042083902986,3,1,180,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,60,20,20,3,30.294652223587036,54.73819661140442,0.0,22.726550394440203,90.88395667076111,90.88395667076111,0.0,45.441978335380554,45.441978335380554,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0.3333333333333333,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,3,1,180,60
192.168.10.130,192.168.10.129,80,1555,6,2025-06-22 13:39:39,90.84160614013672,1.9814709101721866,0.033024515169536445,0.033024515169536445,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.42080307006836,90.84160614013672,0.0,45.42080307006836,90.84160614013672,90.84160614013672,0.0,45.42080307006836,45.42080307006836,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.129,192.168.10.130,2552,80,6,2025-06-22 13:39:39,90.89698433876038,1.9802637162214878,0.03300439527035813,0.03300439527035813,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.44849216938019,90.89698433876038,0.0,45.44849216938019,90.89698433876038,90.89698433876038,0.0,45.44849216938019,45.44849216938019,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.130,192.168.10.129,80,2012,6,2025-06-22 13:39:39,90.8566563129425,1.9811426845823628,0.033019044743039384,0.033019044743039384,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.42832815647125,90.8566563129425,0.0,45.42832815647125,90.8566563129425,90.8566563129425,0.0,45.42832815647125,45.42832815647125,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.130,192.168.10.129,80,2021,6,2025-06-22 13:39:39,90.85076451301575,1.9812711644733851,0.03302118607455642,0.02201412404970428,0.01100706202485214,2,1,120,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,20,20,2,45.42538225650787,90.85076451301575,0.0,45.42538225650787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0.5,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,1,120,60
